Donaciones de Dinero — Terremoto en Colombia (10 de agosto de 2026),,,,
"Esta pestaña dejó de ser actualizada el miércoles 12 de agosto. Para información actualizada y nuevas sugerencias de donación, visite www.tinyurl.com/AyudaColHub",,,,
Se recomienda revisar los horarios de donación en las cuentas de redes sociales de quienes las organizan                                ,,,,
Organización,Punto de entrega / Canal,"Detalle (dirección, cuenta, enlace)",Qué se necesita,Contacto / Más información
Patrulla Aérea Civil del Pacífico,Cuenta Corriente Banco de Occidente,"014-033344
PATRULLA AEREA CIVIL DEL PACIFICO   
Nit 890.311.346","Fondos para apoyar el transporte aéreo de insumos, personal médico, profesional para llegar a las zonas más apartadas. La Patrulla realizará vuelos a distintas partes del Pacífico, incluido Cali, Guapi, Popayán, Timbiquí, El Charco, López de Micay, Bahía Solano y Juanchaco, entre otras","Cel. 3113069085 (Nicole González)
patrullaerea2015@gmail.com
https://pac-pacifico.org/"
Cruz Roja Colombiana,En línea,https://ayuda.cruzrojacolombiana.org/emergencia-colombia-terremoto,Fondos para atención humanitaria de emergencia (funciona desde el extranjero),"cruzrojacolombiana.org; 

https://www.instagram.com/p/Db3rFnYxgvA/"
,Cuenta corriente Davivienda,"Cuenta No. 0560455069996490
Sociedad Nacional de la Cruz Roja Colombiana, NIT 899999025-3",,
Banco de Alimentos de Bogotá,En línea,https://www.bancodealimentos.org.co/donaciones-hoy-min/,Fondos para alimentos y ayuda a familias afectadas,"bancodealimentos.org.co; 

https://www.instagram.com/bancodealimentosbgt/"
Asociación de Bancos de Alimentos de Colombia (Abaco),En linea,https://donahoy.abaco.org.co/colombia2026,Fondos para bancos de alimentos y elementos de primera necesidad,"

https://www.instagram.com/p/Db3luGfDiHm/?img_index=1"
,Cuenta corriente Bancolombia,"Cuenta No. 15264342372
Asociación de Bancos de Alimentos de Colombia – ABACO, NIT: 900326456-1",,
Presentes Corporación / Proantioquia,En línea,https://presentes.co/dona/,Fondos para atención humanitaria de emergencia,"https://www.instagram.com/p/Db3Xv8Dukfu/

WhatsApp: 3104157033"
SOS Chocó #JuntosPorElChocó,Cuenta Ahorros Davivienda,"Cuenta # 0550108900866626
Corporación Pueblo Negro Fuerte, NIT 9018895915",Fondos para atención humanitaria de emergencia en el Chocó,https://www.instagram.com/p/Db3vjWpOfS6/
,App (Tap Tap Send),"Donación a ""Corporación Pueblo Negro Fuerte"" (funciona desde el extranjero). ",,
,Cuenta Ahorros Bancolombia,"Cuenta # 78665247332
Fundación Tierra Grata",,
,En línea,https://www.gofundme.com/f/el-mundo-mira-al-choco,,
Fundación Solidaridad por Colombia,Cuenta Ahorros Bancolombia,167-000109-63,Fondos para atención humanitaria de emergencia,https://www.instagram.com/p/Db3nI2vCRlK/?img_index=1
Fundación PLAN,En línea,https://plan.org.co/quiero-ayudar/terremoto-en-colombia/,Fondos para atención humanitaria de emergencia,https://www.instagram.com/p/Db3fX3lxoiy/?hl=en
,Cuenta Ahorros Bancolombia,Cuenta # 662-000032-88,,
World Central Kitchen,En línea,https://donate.wck.org/campaign/831452/donate,Fondo para la provisión de alimentos en las zonas más afectadas,https://www.instagram.com/p/Db5s5CwH8yM/?img_index=1
Rappi,App,Botón de donación en la aplicación,Fondos para atención humanitaria de emergencia,
Minuto de Dios,Cuenta Ahorros Davivienda,Cuenta # 004000240970,Fondos para atención humanitaria de emergencia,https://www.instagram.com/p/Db4A78XsMUB/
Fundación Galería Aborigen,En línea,https://www.gofundme.com/f/ayudas-para-las-comunidades-indigenas-del-choco,Fondos para atención humanitaria para las comunidades indígenas del Chocó,"https://www.instagram.com/reels/Db4Odpepep9/
https://www.instagram.com/p/Db4U6uLoKCq/?img_index=3"
,Cuenta Corrienta Bancoomeva,"Cuenta # 051504054506
NIT: 901936482",,
Fundesopa / Goyo,Cuenta Ahorros Banco de Bogotá,Cuenta # 378452411,Fondos para atención humanitaria para la las personas de Condoto (Chocó),https://www.instagram.com/p/Db4ZFR5pIZ5/
Manos Visibles,En línea,https://web.afrus.org/donamigosvisibleschoco,Fondos para atención humanitaria de emergencia en el Chocó,https://www.instagram.com/p/Db3387SmG_x/?img_index=1
Fundación Herencia de Timbiquí,En línea,https://backend.paymentsway.co/Linkabierto/ZGU3YWE0NjItNTA1NS00MDAzLWIzNDgtOTg2ZGE5ZGM2MGNh,Fondos para atención humanitaria de emergencia en el Chocó,https://www.instagram.com/p/Db4hW16t6-i/
Caring for Colombia,En línea,https://secure.givelively.org/donate/foundation-caring-for-colombia-ltd/colombia-se-levanta-earthquake-relief-2026,Fondos para atención humanitaria de emergencia (funciona desde el extranjero). Caring for Colombia también realiza alianzas con empresas para hacer programas de corporate matching.,https://www.instagram.com/p/Db31QstySSy/
Check New Places,En línea,https://www.checknewplaces.com/donar-choco,Fondos para atención humanitaria de emergencia en el Chocó (funciona desde el Extranjero),https://www.instagram.com/p/Db40EfWDoE_/?img_index=1
TECHO Colombia,En línea,https://checkout.wompi.co/l/sQ5jhx,Fondos para atención humanitaria de emergencia,https://www.instagram.com/p/Db4SoVgOcwL/
,Cuenta Ahorros Bancolombia,29900001836,,
UNICEF,En línea,https://www.unicefusa.org/stories/magnitude-74-earthquake-strikes-colombia-children-need-help-now,Fondos para atención humanitaria de emergencia (funciona desde el extranjero),https://www.instagram.com/p/Db4aTR7DC42/?img_index=1
