Donaciones en Especie — Terremoto en Colombia (10 de agosto de 2026),,,,
ASPECTOS AL TENER EN CUENTA ANTES DE DONAR: https://drive.google.com/file/d/1N3fp-drEMWVZU1X9GFIH6brFpbM4JZuW/view,,,,
"Esta pestaña dejó de ser actualizada el miércoles 12 de agosto. Para información actualizada y nuevas sugerencias de donación, visite www.tinyurl.com/AyudaColHub",,,,
Se recomienda revisar los horarios de donación en las cuentas de redes sociales de quienes las organizan,,,,
"Empresas dedicadas a la recolección y logística de donaciones (contactar para más detalles): Staff Cycling,  Más Compost y Menos Basura;  Mercado Circular RAW",,,,
Ciudad / Región,Organización,"Detalle (dirección, cuenta, enlace)",Qué se necesita,Contacto / Más información
BOGOTÁ Y ALREDEDORES,,,,
Bogotá,Alcaldía de Bogotá / Cruz Roja / Sencia / Corficolombiana,Estadio Nemesio Camacho el Campín (sobre la Avenida Carrera 30),"Kits de mercado básico, kits de hábitat, kits de higiene personal, kits de higiene para bebés. A partir del 12 de agosto",https://www.instagram.com/p/Db7N6JlDE-h/?img_index=1
Bogotá,Alcaldía de Bogotá / Cruz Roja,Carrera 24 # 73-38 (Sede administrativa),"Agua potable, cobijas, mantas, colchonetas, alimentos no perecederos, aseo personal, primeros auxilios",https://www.instagram.com/p/Db9Ig_wnCVC/?img_index=2
Bogotá,Alcaldía de Bogotá / Cruz Roja,Calle 63 # 59A-06 (Palacio de los Deportes),"Agua potable, cobijas, mantas, colchonetas, alimentos no perecederos, aseo personal, primeros auxilios",https://www.instagram.com/p/Db9Ig_wnCVC/?img_index=2
Bogotá,Alcaldía de Bogotá / Cruz Roja,Carrera 15 # 124-30 (Unicentro),"Agua potable, cobijas, mantas, colchonetas, alimentos no perecederos, aseo personal, primeros auxilios",https://www.instagram.com/p/Db9Ig_wnCVC/?img_index=2
Bogotá,Alcaldía de Bogotá / Cruz Roja,Carrera 4 # 22-61 (Universidad Jorge Tadeo Lozano),"Agua potable, cobijas, mantas, colchonetas, alimentos no perecederos, aseo personal, primeros auxilios",https://www.instagram.com/p/Db9Ig_wnCVC/?img_index=2
Bogotá,Banco de Alimentos de Bogotá,Calle 19A # 32-50,Alimentos y elementos de primera necesidad,"https://www.bancodealimentos.org.co/

https://www.instagram.com/bancodealimentosbgt/"
Bogotá,Casa Jardín Origen,Calle 38 # 29-29,"Agua, alimentos no perecederos, elementos de aseo, pañales, cobijas, colchonetas, linternas, baterías, medicamentos, insumos de primeros auxilios",https://www.instagram.com/p/Db4JRgRxv5D/
Bogotá,Casa Jardín Origen,Calle 38 # 29-29,"Banco de Materiales – Fase 1 en Bogotá, exclusivamente para recibir elementos de protección y apoyo requeridos en esta etapa: guantes, cascos TAG, gafas de protección, tapabocas, botas con puntera metálica, linternas, chalecos, bloqueador y termos. Hasta el miércoles 12 de agosto.",https://www.instagram.com/p/Db4JRgRxv5D/
Bogotá,Human Construction,Carrera 52A # 134D-23 Local 1,"Agua, alimentos no perecederos, elementos de aseo, pañales, cobijas, colchonetas, linternas, baterías, medicamentos, insumos de primeros auxilios",https://www.instagram.com/p/Db4JRgRxv5D/
Bogotá,Fundación Catalina Muñoz,Diagonal 48 # 19-16,"Agua, alimentos no perecederos, elementos de aseo, pañales, cobijas, colchonetas, linternas, baterías, medicamentos, insumos de primeros auxilios",https://www.instagram.com/p/Db4JRgRxv5D/
Bogotá,Laika (mascotas),Av. Calle 116 # 18B-42,"Mascotas: concentrado, alimento húmedo, snacks, medicamentos, guacales
Personas: alimentos no perecederos, medicamentos",https://www.instagram.com/p/Db35Em-CVdG/?img_index=5
Bogotá,Laika (mascotas),Av. Carrera 7 # 59-34,"Mascotas: concentrado, alimento húmedo, snacks, medicamentos, guacales
Personas: alimentos no perecederos, medicamentos",https://www.instagram.com/p/Db35Em-CVdG/?img_index=5
Bogotá,Laika (mascotas),Calle 94 # 13-73,"Mascotas: concentrado, alimento húmedo, snacks, medicamentos, guacales
Personas: alimentos no perecederos, medicamentos",https://www.instagram.com/p/Db35Em-CVdG/?img_index=5
Bogotá,Banco de Ropas / Minuto de Dios,Transversal 73A # 82-61,"Alimentos no perecederos, kits de aseo, colchonetas, frazadas y herramientas.
",https://www.instagram.com/p/Db4A78XsMUB/
Bogotá,Fundación Galería Aborigen,Carrera 6A #116-17,"Alimentos no perecederos, ropa, medicamentos",https://www.instagram.com/p/Db550fxiHIt/?img_index=1
Bogotá,Universidad de los Andes,"Carrera 1 Este # 18A - 12 (en los edificios Mario Laserna, AU, Centro Cívico, BLoque Y)","Insumos médicos, higiene personal, alimentos y agua, abrigo y refugio (cobijas, colchonetas, sacos de dormir, carpas, lonas plásticas, cuerdas), iluminación y energía (linternas, pilas, power banks, cargadores solares, radios de bateria), artículos para niños",https://www.instagram.com/p/Db39OdBjwAt/?img_index=2
Bogotá,Global Shapers / Ideas Contra el Odio / Universidad de los Andes,Calle 116 # 11C-22,"Insumos médicos, higiene personal, alimentos y agua, abrigo y refugio (cobijas, colchonetas, sacos de dormir, carpas, lonas plásticas, cuerdas), iluminación y energía (linternas, pilas, power banks, cargadores solares, radios de bateria), artículos para niños",https://www.instagram.com/p/Db39OdBjwAt/?img_index=2
Bogotá,Global Shapers / Ideas Contra el Odio / Universidad de los Andes,Transversal 52C # 2-46,"Insumos médicos, higiene personal, alimentos y agua, abrigo y refugio (cobijas, colchonetas, sacos de dormir, carpas, lonas plásticas, cuerdas), iluminación y energía (linternas, pilas, power banks, cargadores solares, radios de bateria), artículos para niños",https://www.instagram.com/p/Db39OdBjwAt/?img_index=2
Bogotá,Global Shapers / Ideas Contra el Odio / Universidad de los Andes,"Carrera 72 # 17A - 62. Centro Comercial Multiplaza, Sótano 2","Insumos médicos, higiene personal, alimentos y agua, abrigo y refugio (cobijas, colchonetas, sacos de dormir, carpas, lonas plásticas, cuerdas), iluminación y energía (linternas, pilas, power banks, cargadores solares, radios de bateria), artículos para niños",https://www.instagram.com/p/Db39OdBjwAt/?img_index=2
Bogotá,Global Shapers / Ideas Contra el Odio / Universidad de los Andes,Royal Enfield en la Zona T,"Insumos médicos, higiene personal, alimentos y agua, abrigo y refugio (cobijas, colchonetas, sacos de dormir, carpas, lonas plásticas, cuerdas), iluminación y energía (linternas, pilas, power banks, cargadores solares, radios de bateria), artículos para niños",https://www.instagram.com/p/Db8-M8XlPfw/?img_index=1
Bogotá,#ElPaísPrimero,Calle 39 Sur # 4-16,"Colchonetas, ropa en buen estado, elementos de aseo personal, toallas higiénicas, pañales, alimentos no perecederos",https://www.instagram.com/p/Db4oBWDo-LB/
Bogotá,#ElPaísPrimero,Calle 49 Sur # 27 - 47,"Colchonetas, ropa en buen estado, elementos de aseo personal, toallas higiénicas, pañales, alimentos no perecederos",https://www.instagram.com/p/Db4oBWDo-LB/
Bogotá,#ElPaísPrimero,Carrera 78 # 38 C - 06 Sur,"Colchonetas, ropa en buen estado, elementos de aseo personal, toallas higiénicas, pañales, alimentos no perecederos",https://www.instagram.com/p/Db4oBWDo-LB/
Bogotá,#ElPaísPrimero,Transversal 17A # 37-29,"Colchonetas, ropa en buen estado, elementos de aseo personal, toallas higiénicas, pañales, alimentos no perecederos",https://www.instagram.com/p/Db4oBWDo-LB/
Bogotá,#ElPaísPrimero,Carrera 69 # 75-88,"Colchonetas, ropa en buen estado, elementos de aseo personal, toallas higiénicas, pañales, alimentos no perecederos",https://www.instagram.com/p/Db4oBWDo-LB/
Bogotá,Café Libertario,Calle 70A # 5-37,"Alimentos no perecederos, agua, productos de higiene, cobijas, ropa en buen estado, elementos de primeros auxilios",https://www.instagram.com/p/Db3rBPIgL6a/?img_index=1
Bogotá,Café Libertario,Calle 119B # 5-43,"Alimentos no perecederos, agua, productos de higiene, cobijas, ropa en buen estado, elementos de primeros auxilios",https://www.instagram.com/p/Db3rBPIgL6a/?img_index=1
Bogotá,El Bochinche Café,Calle 22 # 1 - 26,"Agua y alimentos, higiene y aseo, insumos médicos, ropa y descanso, herramientas e iluminación",https://www.instagram.com/p/Db30rVciQug/?img_index=2
Bogotá,El Bourbon Estudio,Calle 39 # 24-36,"Alimentos y bebidas, higiene y salud (medicamentos, primeros auxilios, etc.), carpas, lonas, colchonetas, sacos para dormir, ropa limpia, abrigos, linternas, baterías, cargadores portátiles",https://www.instagram.com/p/Db8pKqUliKB/?img_index=1
Bogotá,Club Activo 20-30,"Carrera 9 # 77-66, apto 901
Carrera 7 # 130-50, torre 2, apto 603
","Alimentos no perecederos, artículos de cuidado personal e higiene, artículos de refugio y descanso, medicamentos y alimentos para animales. Recepción de donaciones hasta el viernes 14 de agosto.",https://www.instagram.com/p/Db37oz2Ecd5/?img_index=1
Bogotá,La Facultad del Rayón,Carrera 19 # 43A-25,"Actualizado: Agua potable embotellada, guantes de carnaza, gafas protectoras, kits de aseo personal, gasas estériles, algofón, tapabocas, solución salina, kits de primeros auxilios, yesos ortopédicos (varios tamaños), suero antiofidico polivalente, acetaminofen, ibuprofeso, pañales, utensilios de plástico, arena para gatos, cobijas, carpas",https://www.instagram.com/p/Db8SQ4TEVKZ/?img_index=1
Bogotá ,Fundación Vuya,"Calle 81 # 10-32, apto 201","Ropa en buen estado, colchonetas y cobijas, artículos de aseo, insumos médicos. Serán destinados a corregimientos del Río Atrato exclusivamente (La Molana, San Juan y Baudó)",https://www.instagram.com/p/Db8Kut6jVuP/?img_index=1
Bogotá ,Fundación Vuya,Carrera 26 #41A-04 Sur,"Ropa en buen estado, colchonetas y cobijas, artículos de aseo, insumos médicos. Serán destinados a corregimientos del Río Atrato exclusivamente (La Molana, San Juan y Baudó)",https://www.instagram.com/p/Db8Kut6jVuP/?img_index=1
Bogotá,Pontificia Universidad Javeriana,"Carrera 7 # 40-62, edificios Emilio Arango, Centro Javeriano de Formación Deportiva y Hospital San Ignacio

Autopista Norte # 123-60, segundo piso (Torre Sapiencia)","Alimentos, productos de aseo, colchonetas, gafas de seguridad, guantes industriales, toldillos, hamacas, colchonetas, palas, picas, linternas.",https://www.instagram.com/p/Db63CY5iOqs/?img_index=2
Bogotá,Entrequemados / Martial Rentals,Carrera 10 # 54A-27,"Alimentos no perecederos, alimentos para animales, productos de aseo, elementos de botiquín, agua.",https://www.instagram.com/p/Db7GrDlgK3G/?img_index=3
