"Voluntarios — Terremoto en Colombia (10 de agosto de 2026)","","","","","","","","","","","","","","","","","","","","","","","","",""
"Esta pestaña dejó de ser actualizada el miércoles 12 de agosto. Para información actualizada y nuevas sugerencias de donación, visite www.tinyurl.com/AyudaColHub","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ciudad / Región","Organización/Lugar","Dirección","Qué se necesita","Contacto / Más información","","","","","","","","","","","","","","","","","","","","",""
"NACIONAL","","","","","","","","","","","","","","","","","","","","","","","","",""
"Nacional","Sociedad Colombiana de Arquitectos / Colectivo de Estudiantes de Arquitectura SCA","N/A","""¿Eres arquitecto, ingeniero civil o tienes una profesión afín? Puedes aportar realizando una revisión inicial de viviendas en el país tras el sismo. Déjanos tus datos en los comentarios o en el formulario del perfil para ayudar a que los hogares puedan volver a su vivienda con seguridad, o sepan que deben esperar y cuidarse mientras se gestiona una evaluación a profundidad""
","https://www.instagram.com/cesca_nacional/","","","","","","","","","","","","","","","","","","","","",""
"Nacional","Fundación Médicos Amigos","N/A","Convocatoria urgente de profesionales con disponibilidad inmediata para desplazarse al Chocó. La salida se realizará desde Bogotá. Se buscan dos médicos intensivistas, dos traumatólogos, dos cirujanos, dos pediatras y dos psicólogos.","https://www.instagram.com/fundacion_medicosamigos/","","","","","","","","","","","","","","","","","","","","",""
"Nacional","SOS Chocó
#JuntosPorElChocó","N/A","Convocatoria urgente para respuesta inmediata, fase 1. Se buscan perfiles del sector de construcción dispuestos a movilizarse desde Bogotá hacia el Chocó y el Valle del Cauca (gastos de desplazamiento cubiertos) para sumarse a las acciones técnicas de respuesta y recuperación, en articulación con las estrategias territoriales y departamentales de los territorios afectados.","Info: https://www.instagram.com/p/Db6LFepxGUu/

Registro: https://forms.cloud.microsoft/r/72mGd0FB3d

Único canal de información para esta línea estratégica: equipolegalha@gmail.com","","","","","","","","","","","","","","","","","","","","",""
"BOGOTÁ Y ALREDEDORES","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bogotá","Alcaldía de Bogotá / Cruz Roja / Sencia / Corficolombiana","Estadio Nemesio Camacho el Campín (sobre la Avenida Carrera 30)
8:00am - 9:00am","Personas interesadas en apoyar el nuevo centro de acopio a partir del 12 de agosto 

Revisar requisitos acá: https://www.instagram.com/p/Db9J-93gpiB/?utm_source=ig_web_copy_link&igsh=NTc4MTIwNjQ2YQ==","https://www.instagram.com/p/Db6qcy3AuUU/","","","","","","","","","","","","","","","","","","","","",""
"Bogotá","Casa Jardín Origen","Calle 38 # 29-29
8:00am - 6:00pm
Llenos para el día 12 de agosto","Personas interesadas en (i) llenar bases de datos; (ii) inventariar y organizar las donaciones; (iii) registrar y actualizar información; (iv) apoyar en la recepción y clasificación de insumos. Ideal traer computador. Este lugar reporta contar con suficientes voluntarios por ahora, consultar antes de ir.","Sergio Mosquera +573058954149","","","","","","","","","","","","","","","","","","","","",""
"Bogotá","Human Construction","Carrera 52A # 134-23, Local 1
8:00am - 6:00pm","Personas interesadas en (i) llenar bases de datos; (ii) inventariar y organizar las donaciones; (iii) registrar y actualizar información; (iv) apoyar en la recepción y clasificación de insumos. Ideal traer computador","Hillary Angulo +573016441221","","","","","","","","","","","","","","","","","","","","",""
